created_at,text
Sun Sep 20 00:16:06 +0000 2020, @traalinetti: minha professora de artes pediu pra gente tirar umas fotinhas sobre a nossa quarentena e enviar e eu to TÃO boiola pelas…
Sun Sep 20 00:16:08 +0000 2020,Vc percebe que a galera não aprendeu nada na quarentena quando vê as DISGRAÇA fazendo unboxing em cima da camaaaaa
Sun Sep 20 00:16:08 +0000 2020," @senadorhumberto: O que Bolsonaro chama de ""caminho certo"" é na verdade uma estrada com 135 mil cruzes fincadas no acostamento.

:/…"
Sun Sep 20 00:16:08 +0000 2020,"A galera não quer aulas presenciais sem vacina né ? Vai se foder, braleiro é ignorante demais"
Sun Sep 20 00:16:08 +0000 2020,"Meu corpo implora por uma festa pra terminar com as pernas sem forças e acabada no outro dia
Essa quarentena não acaba nunca?"
Sun Sep 20 00:16:09 +0000 2020,"O Diego chegou hoje do nada pra mim eu vou na sua casa, cansei dessa quarentena KKKKKKKKK fiquei amo vem"
Sun Sep 20 00:16:09 +0000 2020," @FafahMb1: A vacina da Covid 19 deverá ser testada em todos os políticos. 
Se eles sobreviverem a vacina é segura, se não sobreviverem o…"
Sun Sep 20 00:16:10 +0000 2020," @luizacaires3: Nós: ""Pipipi popopó do linfócito, proteína spike, e a vacina de mRNA, , R0 num sei das quantas""

O pessoal: ://t.c…"
Sun Sep 20 00:16:10 +0000 2020," @erikakokay: Você sabia? 

Todos os braleiros usam o SUS, mesmo sem saber. O SUS não é só atendimento médico. É vigilância sanitária,…"
Sun Sep 20 00:16:12 +0000 2020, @QuebrandoOTabu: Esse gráfico mostra as mortes causadas pela pandemia em alguns países ao redor do mundo. Como dizer que o Bral esta l…
Sun Sep 20 00:16:12 +0000 2020," @Jocelen19780783: Médico destrói narrativa do ‘Fique em Casa’: 30% das pessoas poderiam ter do salvas, afirma Alessandro Loiola (veja…"
Sun Sep 20 00:16:12 +0000 2020,"@gen_heleno NAO TE,OS VANINAS MAIS TEMOZ TESTES DE CODIVE POAIS DE ALHACOS SEM VERGONHAS NAO TEM MAIS CODIVE PAIS D… ://t.co/DHgyR5aIze"
Sun Sep 20 00:16:13 +0000 2020,@BrenoGomes38 @Dudu Asm migo esse pensamento e bem errado te pq se vc não sabe quarentena precisa ter efeito de m… ://t.co/s3Z3K1WxgF
Sun Sep 20 00:16:14 +0000 2020,Essa quarentena tá me mostrando o quanto eu me nto sozinha em Aracaju... Aracaju só funciona quando meus amigos estão aqui!
Sun Sep 20 00:16:15 +0000 2020,@lucascoradas pra mim quarentena é isolamento. então não é conderado. porém acho menos pior do que ir em bar po… ://t.co/Q4TGsxCUQ1
Sun Sep 20 00:16:16 +0000 2020, @dantegalileu: E quando a gente pensava que quarentena eram 40 dias
Sun Sep 20 00:16:16 +0000 2020," @atsudeviI: quarentena dia 18323

eu tô começando a achar que esse cara aqui é o kageyama será que é só impressão??? ://t.co/pBqoxk…"
Sun Sep 20 00:16:18 +0000 2020,O bom da quarentena é q eu aprendi a não mandar mensagem pra ninguém quando tiver bebendo (pq também n vai dar em nada então nem tem o pq)
Sun Sep 20 00:16:18 +0000 2020," @luuizhenriquem: Engordei por conta da quarentena, já sou gordo e fiquei mais e me aparece viado padrão se sentindo ofendida pq foi cham…"
Sun Sep 20 00:16:18 +0000 2020, @ifstylwes: OK SE &gt;&gt;NÃO&lt;&lt; FOR TOMBO VCS TEM NOÇÃO QUE BASICAMENTE CONFIRMA O QUE A GENTE JÁ SABE NÉ??? QUE ELES TÃO SIM PASSANDO A QUARE…
Sun Sep 20 00:16:19 +0000 2020,aproveitar a quarentena pra de fato ficar de quarentena nao transmitir um posvel virus ganhar meu din e vazar des… ://t.co/I2JyQR3zoy
Sun Sep 20 00:16:19 +0000 2020,Sinceramente cansada se não fosse essa quarentena eu teria a faculdade pelo menos como desculpa de sair desse ambie… ://t.co/EHPk17gn7G
Sun Sep 20 00:16:20 +0000 2020,@senadorhumberto Todas na conta do  mas fizeram estádios em vez de hospitais
Sun Sep 20 00:16:20 +0000 2020,@renatacris A vacina precisa chegar logo
Sun Sep 20 00:16:22 +0000 2020, @lilwlade: Eu congo entender os argumentos pela reabertura e tmb pela manutenção da quarentena. Existem pontos válidos nos dois lados.…
Sun Sep 20 00:16:22 +0000 2020," @GalloMontella: @RHPozzobon Após mais essa prisão de candidato a prefeitura do Rio de Janeiro, o TRE-RJ confirmou que o horário eleitora…"
Sun Sep 20 00:16:23 +0000 2020, @WORD_NEWSS: Biólogo sofre mutação com a vacina para COVID-19 e aparece em live com orelhas. ://t.co/bPeWfoDv
Sun Sep 20 00:16:23 +0000 2020, @toujourmicelio: Tenha um namoro tradicional. Use peruca. Passe pó de arroz na cara. Faça uma pequena reverência ao ver sua mulher. Ofer…
Sun Sep 20 00:16:25 +0000 2020,Sou Advogada e só não digo o que já recebi por consulta que senão a OAB briga
Sun Sep 20 00:16:25 +0000 2020,"@lucaspessoar Quarentena acaba logo 🙏 p eu ir ai no RJ, ou tu vir aqui em Pirai"
Sun Sep 20 00:16:26 +0000 2020,@marce_la91 Hahahahahaha pior que m. E a quarentena ainda piora a tuação. 😔
Sun Sep 20 00:16:27 +0000 2020,Meu pai fld q vai ficar de quarentena por mais 2 anos pra mim n sair pra dar beijinho KAJSKAJSKAJAeu to morrendo
Sun Sep 20 00:16:27 +0000 2020,@aidsdesu Sou a favor de você vir pra Lavras depois da quarentena e combinamos de tirar umas fotos juntas pra gente se sentir! Que tal?
Sun Sep 20 00:16:28 +0000 2020, @mamaisou: Diário da quarentena do Tataritaritatá ❤️❤️❤️ ://t.co/5A5Bn5e0eO
Sun Sep 20 00:16:29 +0000 2020, @tvbralgov: 😷#Covid19: Bral tem 4.528.240 casos confirmados de pacientes com #coronavírus e 3.820.095 recuperados da doença. @minsau…
Sun Sep 20 00:16:29 +0000 2020," @EDU72554976: @gen_heleno NAO TE,OS VANINAS MAIS TEMOZ TESTES DE CODIVE POAIS DE ALHACOS SEM VERGONHAS NAO TEM MAIS CODIVE PAIS DE LADRO…"
Sun Sep 20 00:16:29 +0000 2020,Telefone sem fio em plena quarentena esse joguin online é tudoooooooooo
Sun Sep 20 00:16:30 +0000 2020, @livia__alvesss: Eu e minha amiga começamos uma lojinha virtual na quarentena e vocês devem saber como é difícil começar nesse meio. Aqu…
Sun Sep 20 00:16:31 +0000 2020,"Febre uma hora dessa não, por favor Deus 😞"
Sun Sep 20 00:16:31 +0000 2020,"nem acredito que segunda eu entro de férias de novo 🙏🏻🙏🏻🙏🏻 só preciso achar uma vacina pra covid até lá ne, já que… ://t.co/ahq3jzSmZw"
Sun Sep 20 00:16:35 +0000 2020,"Todos nos estaremos asm quando a vacina sair 😂😂😂. Esperando por ela anosa.
@pripugliese

://t.co/OadGyHmeC8"
Sun Sep 20 00:16:36 +0000 2020," @senadorhumberto: O que Bolsonaro chama de ""caminho certo"" é na verdade uma estrada com 135 mil cruzes fincadas no acostamento.

:/…"
Sun Sep 20 00:16:36 +0000 2020," @pintosdabruna: espirros -- não
mas quando eu espirro ficam a olhar tipo que sou criminosa"
Sun Sep 20 00:16:37 +0000 2020," @profinfluencer: É  asm que o Estado atua, há dúvidas? Reabrir escolas gnifica ocultar que não tá tendo material de higien…"
Sun Sep 20 00:16:38 +0000 2020,Consulta esta foto de Instagram de @lanataforever ://t.co/e4vVVL6Ud9
Sun Sep 20 00:16:38 +0000 2020," @OficialRBTV: Quarentena do #FindiQuiz!
Homenageando Laura Cardoso, Greta Garbor, Jimmy Fallon e OS 70 ANOS DE TV!!

QUINTA A PAIR DAS…"
Sun Sep 20 00:16:39 +0000 2020," @profinfluencer: É  asm que o Estado atua, há dúvidas? Reabrir escolas gnifica ocultar que não tá tendo material de higien…"
Sun Sep 20 00:16:39 +0000 2020, @eduardoalbu56: Secretário de Saúde do Ceará vem dizer q “o mundo errou” por ñ ter tratado as pessoas com Covid 19 nos primeiros ntoma…
Sun Sep 20 00:16:39 +0000 2020,"-1 🙌🏽 ufa (@ Salão Andinho Du Corte ✂📏 in Nova Iguaçu, Rio de Janeiro) ://t.co/KisRXQhDTa"
Sun Sep 20 00:16:40 +0000 2020," @ouapaixonado: sabadou com s de 

só quero a vacina"
Sun Sep 20 00:16:40 +0000 2020," @CarlosBolsonaro: Cenas atualizadas na Rocinha, no Rio de Janeiro / RJ. ://t.co/geqUsWt6lJ"
Sun Sep 20 00:16:41 +0000 2020, @sapphodrosera: meu deus se os cientistas soubessem a vontade q eu to de beijar na boca a vacina saía amanhã
Sun Sep 20 00:16:41 +0000 2020,Tem gente q apoia a volta da torcidas nos estádios em um país q tem quase  1.000 mortes por dia pelo corona vírus 😡🤦‍♂️
Sun Sep 20 00:16:42 +0000 2020,"Check em Paraty/RJ. 
#rolealeatorio concluído com sucesso. em Paraty, Rio de Janeiro, Brazil ://t.co/C4vxQDJAmw"
Sun Sep 20 00:16:42 +0000 2020," @Oficialluizlima: Hoje, no evento com os pré-candidatos a vereador do Rio de Janeiro pelo PSL.                         “Estarei alinhado…"
Sun Sep 20 00:16:42 +0000 2020,"@taekbp minha mãe conta q tbm viu uma luz forte e ai sentiu flutuando por ela não tinha nada ao redor, o médico era… ://t.co/FVE1UcQBFA"
Sun Sep 20 00:16:43 +0000 2020," @oarthurigor: 1. Vacinação: o SUS tem o melhor programa de vacinação do mundo, controlando diversas doenças com o passar do tempo. As va…"
Sun Sep 20 00:16:43 +0000 2020,melhore vídeo que a quarentena já proporcionou
Sun Sep 20 00:16:43 +0000 2020,Meu Deus eu estou surtando com esta quarentena vai toma no cuuuuu e este o tt fodaze. ://t.co/6IuBXBxwFL
Sun Sep 20 00:16:44 +0000 2020," @informandopop: Em entrevista para o blogue Stereogum, Alicia Keys revelou que está pensando em lançar o videoclipe da múca “Put It In…"
Sun Sep 20 00:16:45 +0000 2020," @vinicalixto_CRF: Minha opinião sobre a volta do público aos estádios: vai quem quer. Eu não vou, direito meu. Quem for, direito da pess…"
Sun Sep 20 00:16:47 +0000 2020," @arquivopolitico: 📆DATAS JÁ CONFIRMADAS DOS DEBATES ELEITORAIS NA TV - 1° TURNO

01/10 - Band, às 22h30
23/10 - Rede TV!, às 22h30
31/10…"
Sun Sep 20 00:16:48 +0000 2020,Era só alguém me presenteando🥺
Sun Sep 20 00:16:48 +0000 2020," @luizacaires3: Nós: ""Pipipi popopó do linfócito, proteína spike, e a vacina de mRNA, , R0 num sei das quantas""

O pessoal: ://t.c…"
Sun Sep 20 00:16:48 +0000 2020,Essa quarentena tá sendo a melhor desculpa da minha vida pra recusar sair com uns caboco 😂😂😂
Sun Sep 20 00:16:48 +0000 2020,"@ilyaribut eu sou e não sou, pq tipo eu fiquei mais burra na quarentena"
Sun Sep 20 00:16:49 +0000 2020," @mayamultimarcas: QUEIMA DE ESTOQUEEEEEE, corre!!!!!!!! 💓

💵 Sandália linda, EXCLUSIVA por apenas R$ 99,99

💳 Aceitamos todos os cartões…"
Sun Sep 20 00:16:51 +0000 2020,Comentaristas nota 10 . o JC hoje vai ser bom
Sun Sep 20 00:16:52 +0000 2020,Acho que o Churrasco Grill tá vendendo vacina da covid. Um tanto de gente daquele justifica-se apenas por isso.
Sun Sep 20 00:16:52 +0000 2020, @sapphodrosera: meu deus se os cientistas soubessem a vontade q eu to de beijar na boca a vacina saía amanhã
Sun Sep 20 00:16:52 +0000 2020,Que saudades do meu Rio de Janeiro
Sun Sep 20 00:16:53 +0000 2020,"@piranema_v @jairbolsonaro Moça, tá com pneumonia?"
Sun Sep 20 00:16:53 +0000 2020,sei la o quanto isso parecia comum antes da quarentena e ate me faz falta é diferente 🤡🤡
Sun Sep 20 00:16:53 +0000 2020,"antes da quarentena eu odiava meu corpo por ser muito magra, hj fui me pesar e vi que cheguei a 51 quilos e tô me s… ://t.co/gL1ht3rqbL"
Sun Sep 20 00:16:53 +0000 2020,@sailorpreta num é??? não apenas de quarentena mas tbm limitadas gastronomicamente kkkkkkkk
Sun Sep 20 00:16:53 +0000 2020,@l1cebbe Esperando essa quarentena acabar para isto
Sun Sep 20 00:16:55 +0000 2020,"@gen_heleno Essa mulher bateu c/tanto jeito,c/ tanta classe, que não tem médico legista no mundo que constate os  hematomas."
Sun Sep 20 00:16:58 +0000 2020, @Oficialluizlima: Até quando o Rio de Janeiro vai ser refém da violência? É inaceitável que uma cidade grandiosa e com o potencial do RJ…
Sun Sep 20 00:16:58 +0000 2020, @sapphodrosera: meu deus se os cientistas soubessem a vontade q eu to de beijar na boca a vacina saía amanhã
Sun Sep 20 00:16:58 +0000 2020, @Lirium9: Cachorrito abandonado... 🐕🐕 ://t.co/17Jb4IvICg
Sun Sep 20 00:16:59 +0000 2020,Indo ali na vizinha que xingo smp ganhar um bolinho da aglomeração q ta rolando....
Sun Sep 20 00:16:59 +0000 2020,odeio ficar c febre 🥺
Sun Sep 20 00:16:59 +0000 2020, @roludouber: Quem aí tem fetiches em socar casal ? Não aguentei a quarentena tive que da uma fugida .. larga o dedo no  quem gostou .…
Sun Sep 20 00:17:00 +0000 2020,Essa quarentena sugou toda a minha paciência e me deixou sem
Sun Sep 20 00:17:00 +0000 2020,@amirsomoggi @amolinaro61 @AlessaZilly @Redblackpill83 A aglomeração é só em estádio?
Sun Sep 20 00:17:01 +0000 2020," @lucasrohan: Os primeiros-ministros de Espanha e Portugal, Pedro Sánchez e António Costa, apressaram-se em dizer que os países não terão…"
Sun Sep 20 00:17:03 +0000 2020,A bunda
Sun Sep 20 00:17:03 +0000 2020,@Kley_Silva14z Só aparecer q a orla de praia grande tá cheia ! Aglomeração tá tendo 🤔
Sun Sep 20 00:17:03 +0000 2020," @erikakokay: Você sabia? 

Todos os braleiros usam o SUS, mesmo sem saber. O SUS não é só atendimento médico. É vigilância sanitária,…"
Sun Sep 20 00:17:04 +0000 2020,"Fui asstir jornal nacional e a foto do meu vô apareceu no painel junto com as outras mortes por covid, chorei"
Sun Sep 20 00:17:04 +0000 2020," @soulpraiana: Pelos story dos meus amigos no insta, SÓ EU TÔ DE QUARENTENA AINDA KKKKKKKKKKKK."
Sun Sep 20 00:17:04 +0000 2020,primeiro dia dps da quarentena 🤡
Sun Sep 20 00:17:05 +0000 2020,"@rodrigodubal Ela lembra minha mãe: não tinha aqueles cachos super definidos (e bagunçados), mas ela sempre fazia p… ://t.co/vzrEvGHEKs"
Sun Sep 20 00:17:06 +0000 2020," @BTS_Noticee: [👑🧨] ㅁ ㅡ @BTS_twt ㅡ ㅁ

📇🚏Múcos mais tweetados durante os primeiros seis meses de quarentena (EUA):

‼️🔥 #1 BTS 🔥‼️

http…"
Sun Sep 20 00:17:06 +0000 2020," @realizandoumso1: Galera, meu sonho sempre foi trabalhar com o YouTube, e agora durante essa quarentena resolvi encarar meus medos e ten…"
Sun Sep 20 00:17:06 +0000 2020," @itimaliasof: O dono de um pequeno mercado dá comida a cachorros de rua durante a quarentena.

Eles esperam anosamente que o bondoso h…"
Sun Sep 20 00:17:07 +0000 2020,Chifre não e vacina fiquem em casa kkk
Sun Sep 20 00:17:08 +0000 2020," @enf_intenva: Hospital de Floripa demitiu uma técnica de enfermagem por injuria racial. Durante o intervalo de café, ao entrar as func…"
Sun Sep 20 00:17:08 +0000 2020,E a vontade d esfolar a cara d gente asm? ://t.co/uzv4cyJOrG
Sun Sep 20 00:17:08 +0000 2020,Depois de tanta morte graça a  Deus a quím  tá vindo um fala bolo
Sun Sep 20 00:17:10 +0000 2020,"Primeira vez saindo na quarentena. Caras eu tinha esquecido como era minha rua.

E olha que eu só fui na casa vizinha (que é do meu tio 😐)"
Sun Sep 20 00:17:10 +0000 2020,Gente a distribuição da vacina do covid na Barra ta sendo no porto. PQ NÃO TEM OUTRA EXPLICAÇÃO PARA TANTA GENTE LÁ.
Sun Sep 20 00:17:10 +0000 2020,Meu pai fld q eu vo ficar de quarentena por mais 2 anos pra mim n sair pra dar beijinho KAJSKAJSKAJAeu to morrendo
Sun Sep 20 00:17:10 +0000 2020," @MercuryTotal: Vamos voltar no tempo, lá para 2001, com a voz linda da nossa rainha @danielamercury no programa Palco da MPB FM no Rio d…"
Sun Sep 20 00:17:11 +0000 2020, @maraistenna: ribaltas braleiras encontram gringas em show da banda. Noite termina com gringas em hospitais e braleiras na delegacia…
Sun Sep 20 00:17:11 +0000 2020," @brendasafra: o foda de criticar, debater ou tretar com gente desonesta é que a pessoa tira TUDO que vc diz de contexto. eu falei ""fulan…"
Sun Sep 20 00:17:11 +0000 2020," @NicolaLeandro: @RenataAndradeRJ Parabéns Renata👏👏
Temos duas fotos aqui, uma do programa de trainee do Itaú em 2020 e foto dos Garis do…"
Sun Sep 20 00:17:12 +0000 2020,que saudade de uma aglomeração
Sun Sep 20 00:17:12 +0000 2020,"ALEA RIO DE JANEIRO!
://t.co/fTkpNtu83A"
Sun Sep 20 00:17:12 +0000 2020,@droopeeee isso mesmo tem que respeitar a quarentena 👺👺👺
Sun Sep 20 00:17:13 +0000 2020," @brendasafra: eu tava vendo alguns stories antigos, do inicio da quarentena até agora... e é visível a mudança no meu estado mental e au…"
Sun Sep 20 00:17:14 +0000 2020," @erikakokay: Você sabia? 

Todos os braleiros usam o SUS, mesmo sem saber. O SUS não é só atendimento médico. É vigilância sanitária,…"
Sun Sep 20 00:17:14 +0000 2020,"eu sempre passei dias sozinha e nunca me importei, aliás, gostava (ainda gosto um pouco), mas, agora na quarentena,… ://t.co/13vbzA0vXC"
Sun Sep 20 00:17:14 +0000 2020,"@Fragmenluz @JornalOGlobo Não,  por isso precisamos aguardar a vacina."
Sun Sep 20 00:17:15 +0000 2020,"@IvyduMec um monte de gente cara, pego nem gripe"
Sun Sep 20 00:17:15 +0000 2020," @kaheidate: Me ajuda com um  aqui ? 🌹🥺🙏

Oi gente, eu tenho um grupo cover no insta e hoje nós postamos um de ✨Not Shy do Itzy✨, nós f…"
Sun Sep 20 00:17:15 +0000 2020," @EstevamReboucas: O Bral já registrou até agora, 136.565 mortes por coronavírus. Um general de Bolsonaro como ministro da Saúde. Casos…"
Sun Sep 20 00:17:15 +0000 2020,"O Rio de Janeiro virou o Iraque, é tiroteio em toda cidade pelo controle do tráfico. Traficantes do Rio amam o STF."
Sun Sep 20 00:17:15 +0000 2020,"setembro amarelo ainda não acabou...

me coloco a dispoção pra explicar como ter atendimento pcológico, pquiá… ://t.co/SjlmoHjMPJ"
Sun Sep 20 00:17:16 +0000 2020, @juucaf: Na vacina para o COVID queria ser tratada asm
Sun Sep 20 00:17:18 +0000 2020,@adebadeba Quando sair a vacina eu vou aí e te levo uma foto :D
Sun Sep 20 00:17:18 +0000 2020,@iqcmakeup_ Kkkkkkkk temos que aceitar que a quarentena acabou
Sun Sep 20 00:17:18 +0000 2020, @ArrobaBoni: 134 mil mortes no bral imagina sem o sus
Sun Sep 20 00:17:18 +0000 2020,"Tá, só eu que tô ainda mais alcoólatra nessa quarentena?"
Sun Sep 20 00:17:19 +0000 2020," @jornal_cultura: O #JornaldaCultura está no ar! Hoje, Rodrigo Piscitelli recebe o advogado Airton Soares, ex-deputado federal e o médico…"
Sun Sep 20 00:17:19 +0000 2020, @luizacaillaux: 6 meses de quarentena com a família ://t.co/E1LrMIWxgl
Sun Sep 20 00:17:20 +0000 2020,@alloveproject Niall Rio de Janeiro
Sun Sep 20 00:17:21 +0000 2020," @vinicalixto_CRF: Minha opinião sobre a volta do público aos estádios: vai quem quer. Eu não vou, direito meu. Quem for, direito da pess…"
Sun Sep 20 00:17:21 +0000 2020,Cuidado de Deus não se zomba. Tá lá no LIVRO.
Sun Sep 20 00:17:22 +0000 2020,@strvngemercy oq estao dizendo de mim é tudo mentira fon.. ainda nao quebrei a quarentena ://t.co/iM1cD6p7lf
Sun Sep 20 00:17:22 +0000 2020,Governo do Rio de Janeiro adia volta do público ao Maracanã ://t.co/MXS9nHw3UT
Sun Sep 20 00:17:23 +0000 2020,Piauí chega a 90.370 casos confirmados e 2.037 mortes pela Covid-19 ://t.co/iQUKAVaZVO
Sun Sep 20 00:17:23 +0000 2020,"Anosa pra atualizar o CID e acabar a distinção entre aquela coisa que tem gente que acha bonito falar ou ""aspie""… ://t.co/7vDrtEYzYZ"
Sun Sep 20 00:17:23 +0000 2020, @ssy90s: vassoura cuzão iphone naruto maconha o auge gripezinha cachorra noia computador quarentena asstir cu joão pessoa recife cad…
Sun Sep 20 00:17:24 +0000 2020, @sapphodrosera: meu deus se os cientistas soubessem a vontade q eu to de beijar na boca a vacina saía amanhã
Sun Sep 20 00:17:24 +0000 2020, @lleonorm214: p vocês que começam logo a afastarem se e a reclamarem qd alguém espirra
Sun Sep 20 00:17:25 +0000 2020, @mundolarryX: Como eu imagino que Larry ta nessa quarentena ://t.co/3EhxiLElF4
Sun Sep 20 00:17:26 +0000 2020, @zehdeabreu: O Bral atingiu com Bolsonaro mais mortes que a bomba atômica de Hiroshima. E ele segue em busca de mais mortes. Como ele…
Sun Sep 20 00:17:26 +0000 2020,"Acabou de publicar uma foto em Paraty, Rio de Janeiro, Brazil ://t.co/ByEyDeF33y"
